Date,Open,High,Low,Close,Adj Close,Volume
2000-12-27,10.000000,10.000000,10.000000,10.000000,6.764618,0
2000-12-28,10.120000,10.120000,10.120000,10.120000,6.845795,0
2000-12-29,9.860000,9.860000,9.860000,9.860000,6.669914,0
2001-01-02,9.280000,9.280000,9.280000,9.280000,6.277566,0
2001-01-03,10.730000,10.730000,10.730000,10.730000,7.258436,0
2001-01-04,10.730000,10.730000,10.730000,10.730000,7.258436,0
2001-01-05,10.080000,10.080000,10.080000,10.080000,6.818735,0
2001-01-08,10.200000,10.200000,10.200000,10.200000,6.899911,0
2001-01-09,10.220000,10.220000,10.220000,10.220000,6.913439,0
2001-01-10,10.520000,10.520000,10.520000,10.520000,7.116379,0
2001-01-11,11.280000,11.280000,11.280000,11.280000,7.630490,0
2001-01-12,11.200000,11.200000,11.200000,11.200000,7.576373,0
2001-01-16,11.040000,11.040000,11.040000,11.040000,7.468140,0
2001-01-17,11.540000,11.540000,11.540000,11.540000,7.806371,0
2001-01-18,12.050000,12.050000,12.050000,12.050000,8.151366,0
2001-01-19,12.140000,12.140000,12.140000,12.140000,8.212248,0
2001-01-22,11.940000,11.940000,11.940000,11.940000,8.076955,0
2001-01-23,12.090000,12.090000,12.090000,12.090000,8.178424,0
2001-01-24,12.120000,12.120000,12.120000,12.120000,8.198718,0
2001-01-25,11.710000,11.710000,11.710000,11.710000,7.921370,0
2001-01-26,11.700000,11.700000,11.700000,11.700000,7.914605,0
2001-01-29,11.910000,11.910000,11.910000,11.910000,8.056661,0
2001-01-30,12.090000,12.090000,12.090000,12.090000,8.178424,0
2001-01-31,12.030000,12.030000,12.030000,12.030000,8.137836,0
2001-02-01,11.950000,11.950000,11.950000,11.950000,8.083719,0
2001-02-02,11.410000,11.410000,11.410000,11.410000,7.718430,0
2001-02-05,11.110000,11.110000,11.110000,11.110000,7.515491,0
2001-02-06,11.050000,11.050000,11.050000,11.050000,7.474904,0
2001-02-07,10.640000,10.640000,10.640000,10.640000,7.197556,0
2001-02-08,10.530000,10.530000,10.530000,10.530000,7.123143,0
2001-02-09,10.300000,10.300000,10.300000,10.300000,6.967557,0
2001-02-12,10.420000,10.420000,10.420000,10.420000,7.048733,0
2001-02-13,10.240000,10.240000,10.240000,10.240000,6.926970,0
2001-02-14,10.800000,10.800000,10.800000,10.800000,7.305789,0
2001-02-15,11.240000,11.240000,11.240000,11.240000,7.603431,0
2001-02-16,10.580000,10.580000,10.580000,10.580000,7.156966,0
2001-02-20,10.050000,10.050000,10.050000,10.050000,6.798441,0
2001-02-21,9.910000,9.910000,9.910000,9.910000,6.703736,0
2001-02-22,9.840000,9.840000,9.840000,9.840000,6.656385,0
2001-02-23,9.840000,9.840000,9.840000,9.840000,6.656385,0
2001-02-26,9.830000,9.830000,9.830000,9.830000,6.649621,0
2001-02-27,9.300000,9.300000,9.300000,9.300000,6.291096,0
2001-02-28,9.010000,9.010000,9.010000,9.010000,6.094922,0
2001-03-01,9.230000,9.230000,9.230000,9.230000,6.243743,0
2001-03-02,9.300000,9.300000,9.300000,9.300000,6.291096,0
2001-03-05,9.510000,9.510000,9.510000,9.510000,6.433153,0
2001-03-06,9.960000,9.960000,9.960000,9.960000,6.737560,0
2001-03-07,9.980000,9.980000,9.980000,9.980000,6.751090,0
2001-03-08,9.840000,9.840000,9.840000,9.840000,6.656385,0
2001-03-09,9.220000,9.220000,9.220000,9.220000,6.236978,0
2001-03-12,8.840000,8.840000,8.840000,8.840000,5.979923,0
2001-03-13,9.270000,9.270000,9.270000,9.270000,6.270802,0
2001-03-14,9.160000,9.160000,9.160000,9.160000,6.196390,0
2001-03-15,8.890000,8.890000,8.890000,8.890000,6.013746,0
2001-03-16,8.560000,8.560000,8.560000,8.560000,5.790514,0
2001-03-19,8.970000,8.970000,8.970000,8.970000,6.067863,0
2001-03-20,8.520000,8.520000,8.520000,8.520000,5.763455,0
2001-03-21,8.570000,8.570000,8.570000,8.570000,5.797278,0
2001-03-22,9.210000,9.210000,9.210000,9.210000,6.230214,0
2001-03-23,9.480000,9.480000,9.480000,9.480000,6.412858,0
2001-03-26,9.260000,9.260000,9.260000,9.260000,6.264037,0
2001-03-27,9.360000,9.360000,9.360000,9.360000,6.331683,0
2001-03-28,8.730000,8.730000,8.730000,8.730000,5.905512,0
2001-03-29,8.540000,8.540000,8.540000,8.540000,5.776984,0
2001-03-30,8.420000,8.420000,8.420000,8.420000,5.695809,0
2001-04-02,7.960000,7.960000,7.960000,7.960000,5.384636,0
2001-04-03,7.620000,7.620000,7.620000,7.620000,5.154640,0
2001-04-04,7.410000,7.410000,7.410000,7.410000,5.012582,0
2001-04-05,8.240000,8.240000,8.240000,8.240000,5.574046,0
2001-04-06,7.850000,7.850000,7.850000,7.850000,5.310225,0
2001-04-09,7.810000,7.810000,7.810000,7.810000,5.283167,0
2001-04-10,8.460000,8.460000,8.460000,8.460000,5.722868,0
2001-04-11,9.000000,9.000000,9.000000,9.000000,6.088157,0
2001-04-12,9.420000,9.420000,9.420000,9.420000,6.372271,0
2001-04-16,9.040000,9.040000,9.040000,9.040000,6.115215,0
2001-04-17,9.000000,9.000000,9.000000,9.000000,6.088157,0
2001-04-18,10.090000,10.090000,10.090000,10.090000,6.825501,0
2001-04-19,10.750000,10.750000,10.750000,10.750000,7.271965,0
2001-04-20,10.630000,10.630000,10.630000,10.630000,7.190790,0
2001-04-23,10.010000,10.010000,10.010000,10.010000,6.771384,0
2001-04-24,9.800000,9.800000,9.800000,9.800000,6.629327,0
2001-04-25,10.110000,10.110000,10.110000,10.110000,6.839030,0
2001-04-26,9.990000,9.990000,9.990000,9.990000,6.757854,0
2001-04-27,10.280000,10.280000,10.280000,10.280000,6.954028,0
2001-04-30,10.560000,10.560000,10.560000,10.560000,7.143438,0
2001-05-01,10.700000,10.700000,10.700000,10.700000,7.238142,0
2001-05-02,10.980000,10.980000,10.980000,10.980000,7.427550,0
2001-05-03,10.580000,10.580000,10.580000,10.580000,7.156966,0
2001-05-04,10.630000,10.630000,10.630000,10.630000,7.190790,0
2001-05-07,10.530000,10.530000,10.530000,10.530000,7.123143,0
2001-05-08,10.700000,10.700000,10.700000,10.700000,7.238142,0
2001-05-09,10.500000,10.500000,10.500000,10.500000,7.102849,0
2001-05-10,10.390000,10.390000,10.390000,10.390000,7.028439,0
2001-05-11,10.310000,10.310000,10.310000,10.310000,6.974321,0
2001-05-14,10.090000,10.090000,10.090000,10.090000,6.825501,0
2001-05-15,10.160000,10.160000,10.160000,10.160000,6.872853,0
2001-05-16,10.610000,10.610000,10.610000,10.610000,7.177261,0
2001-05-17,10.860000,10.860000,10.860000,10.860000,7.346375,0
2001-05-18,10.860000,10.860000,10.860000,10.860000,7.346375,0
2001-05-21,11.560000,11.560000,11.560000,11.560000,7.819900,0
2001-05-22,11.510000,11.510000,11.510000,11.510000,7.786077,0
2001-05-23,10.980000,10.980000,10.980000,10.980000,7.427550,0
2001-05-24,10.970000,10.970000,10.970000,10.970000,7.420786,0
2001-05-25,10.870000,10.870000,10.870000,10.870000,7.353141,0
2001-05-29,10.330000,10.330000,10.330000,10.330000,6.987853,0
2001-05-30,9.680000,9.680000,9.680000,9.680000,6.548151,0
2001-05-31,9.860000,9.860000,9.860000,9.860000,6.669914,0
2001-06-01,10.100000,10.100000,10.100000,10.100000,6.832266,0
2001-06-04,10.000000,10.000000,10.000000,10.000000,6.764618,0
2001-06-05,10.490000,10.490000,10.490000,10.490000,7.096085,0
2001-06-06,10.430000,10.430000,10.430000,10.430000,7.055497,0
2001-06-07,10.970000,10.970000,10.970000,10.970000,7.420786,0
2001-06-08,10.650000,10.650000,10.650000,10.650000,7.204320,0
2001-06-11,10.270000,10.270000,10.270000,10.270000,6.947263,0
2001-06-12,10.220000,10.220000,10.220000,10.220000,6.913439,0
2001-06-13,9.950000,9.950000,9.950000,9.950000,6.730796,0
2001-06-14,9.470000,9.470000,9.470000,9.470000,6.406094,0
2001-06-15,9.410000,9.410000,9.410000,9.410000,6.365506,0
2001-06-18,9.230000,9.230000,9.230000,9.230000,6.243743,0
2001-06-19,9.140000,9.140000,9.140000,9.140000,6.182862,0
2001-06-20,9.110000,9.110000,9.110000,9.110000,6.162568,0
2001-06-21,9.170000,9.170000,9.170000,9.170000,6.203156,0
2001-06-22,9.210000,9.210000,9.210000,9.210000,6.230214,0
2001-06-25,9.320000,9.320000,9.320000,9.320000,6.304624,0
2001-06-26,9.400000,9.400000,9.400000,9.400000,6.358741,0
2001-06-27,9.390000,9.390000,9.390000,9.390000,6.351978,0
2001-06-28,9.690000,9.690000,9.690000,9.690000,6.554914,0
2001-06-29,10.010000,10.010000,10.010000,10.010000,6.771384,0
2001-07-02,9.960000,9.960000,9.960000,9.960000,6.737560,0
2001-07-03,9.960000,9.960000,9.960000,9.960000,6.737560,0
2001-07-05,9.670000,9.670000,9.670000,9.670000,6.541387,0
2001-07-06,9.110000,9.110000,9.110000,9.110000,6.162568,0
2001-07-09,9.200000,9.200000,9.200000,9.200000,6.223449,0
2001-07-10,8.880000,8.880000,8.880000,8.880000,6.006982,0
2001-07-11,8.950000,8.950000,8.950000,8.950000,6.054334,0
2001-07-12,9.610000,9.610000,9.610000,9.610000,6.500798,0
2001-07-13,9.560000,9.560000,9.560000,9.560000,6.466976,0
2001-07-16,9.130000,9.130000,9.130000,9.130000,6.176097,0
2001-07-17,9.380000,9.380000,9.380000,9.380000,6.345212,0
2001-07-18,9.020000,9.020000,9.020000,9.020000,6.101686,0
2001-07-19,9.330000,9.330000,9.330000,9.330000,6.311390,0
2001-07-20,9.160000,9.160000,9.160000,9.160000,6.196390,0
2001-07-23,8.980000,8.980000,8.980000,8.980000,6.074628,0
2001-07-24,8.860000,8.860000,8.860000,8.860000,5.993452,0
2001-07-25,8.980000,8.980000,8.980000,8.980000,6.074628,0
2001-07-26,9.370000,9.370000,9.370000,9.370000,6.338448,0
2001-07-27,9.540000,9.540000,9.540000,9.540000,6.453447,0
2001-07-30,9.560000,9.560000,9.560000,9.560000,6.466976,0
2001-07-31,9.620000,9.620000,9.620000,9.620000,6.507564,0
2001-08-01,10.030000,10.030000,10.030000,10.030000,6.784913,0
2001-08-02,10.180000,10.180000,10.180000,10.180000,6.886382,0
