Name,Index
"AAPL",0.5454
"AMD",0.3658
"AMZN",0.6652
"INTC",0.4444
"MSFT",0.4594
"TSM",0.4285
"SBUX",0.5666
"JNJ",0.3333
"IBM",0.5606
"SPG",0.5862
"MMM",0.5084
"KO",0.5
"NKE",0.5238
"DIS",0.5076

